id	target_verse	token
 019004004010	019004004	holy
 019004004011	019004004	one
 019004004012	019004004	wonderful
 019004004013	019004004	:
 019004004014	019004004	the
 019004004015	019004004	lord
 019004004016	019004004	will
 019004004017	019004004	hear
 019004004018	019004004	me
 019004004019	019004004	when
 019004004020	019004004	i
 019004004021	019004004	shall
 019004004022	019004004	cry
 019004004023	019004004	unto
 019004004024	019004004	him
 019004004025	019004004	.
 019004005001	019004005	be
 019004005002	019004005	angry
 019004005003	019004005	,
 019004005004	019004005	and
 019004005005	019004005	sin
 019004005006	019004005	not
 019004005007	019004005	:
 019004005008	019004005	the
 019004005009	019004005	things
 019004005010	019004005	you
 019004005011	019004005	say
 019004005012	019004005	in
 019004005013	019004005	your
 019004005014	019004005	hearts
 019004005015	019004005	,
 019004005016	019004005	be
 019004005017	019004005	sorry
 019004005018	019004005	for
 019004005019	019004005	them
 019004005020	019004005	upon
 019004005021	019004005	your
 019004005022	019004005	beds
 019004005023	019004005	.
 019004006001	019004006	offer
 019004006002	019004006	up
 019004006003	019004006	the
 019004006004	019004006	sacrifice
 019004006005	019004006	of
 019004006006	019004006	justice
 019004006007	019004006	,
 019004006008	019004006	and
 019004006009	019004006	trust
 019004006010	019004006	in
 019004006011	019004006	the
 019004006012	019004006	lord
 019004006013	019004006	:
 019004006014	019004006	many
 019004006015	019004006	say
 019004006016	019004006	,
 019004006017	019004006	who
 019004006018	019004006	sheweth
 019004006019	019004006	us
 019004006020	019004006	good
 019004006021	019004006	things
 019004006022	019004006	?
 019004007001	019004007	the
 019004007002	019004007	light
 019004007003	019004007	of
 019004007004	019004007	thy
 019004007005	019004007	countenance
 019004007006	019004007	o
 019004007007	019004007	lord
 019004007008	019004007	,
 019004007009	019004007	is
 019004007010	019004007	signed
 019004007011	019004007	upon
 019004007012	019004007	us
 019004007013	019004007	:
 019004007014	019004007	thou
 019004007015	019004007	hast
 019004007016	019004007	given
 019004007017	019004007	gladness
 019004007018	019004007	in
 019004007019	019004007	my
 019004007020	019004007	heart
 019004007021	019004007	.
 019004008001	019004008	by
 019004008002	019004008	the
 019004008003	019004008	fruit
 019004008004	019004008	of
 019004008005	019004008	their
 019004008006	019004008	corn
 019004008007	019004008	,
 019004008008	019004008	their
 019004008009	019004008	wine
 019004008010	019004008	and
 019004008011	019004008	oil
 019004008012	019004008	,
 019004008013	019004008	they
 019004008014	019004008	are
 019004008015	019004008	multiplied
 019004008016	019004008	.
 019004009001	019004009	in
 019004009002	019004009	peace
 019004009003	019004009	in
 019004009004	019004009	the
 019004009005	019004009	selfsame
 019004009006	019004009	i
 019004009007	019004009	will
 019004009008	019004009	sleep
 019004009009	019004009	,
 019004009010	019004009	and
 019004009011	019004009	i
 019004009012	019004009	will
 019004009013	019004009	rest
 019004009014	019004009	:
 019004009001	019004010	for
 019004009002	019004010	thou
 019004009003	019004010	,
 019004009004	019004010	o
 019004009005	019004010	lord
 019004009006	019004010	,
 019004009007	019004010	singularly
 019004009008	019004010	hast
 019004009009	019004010	settled
 019004009010	019004010	me
 019004009011	019004010	in
 019004009012	019004010	hope
 019004009013	019004010	.
 019005001001	019005001	unto
 019005001002	019005001	the
 019005001003	019005001	end
 019005001004	019005001	,
 019005001005	019005001	for
 019005001006	019005001	her
 019005001007	019005001	that
 019005001008	019005001	obtaineth
 019005001009	019005001	the
 019005001010	019005001	inheritance
 019005001011	019005001	.
 019005001012	019005001	a
 019005001013	019005001	psalm
 019005001014	019005001	of
 019005001015	019005001	david
 019005001016	019005001	.
 019005002001	019005002	give
 019005002002	019005002	ear
 019005002003	019005002	,
 019005002004	019005002	o
 019005002005	019005002	lord
 019005002006	019005002	,
 019005002007	019005002	to
 019005002008	019005002	my
 019005002009	019005002	words
 019005002010	019005002	,
 019005002011	019005002	understand
 019005002012	019005002	my
 019005002013	019005002	cry
 019005002014	019005002	.
 019005003001	019005003	hearken
 019005003002	019005003	to
 019005003003	019005003	the
 019005003004	019005003	voice
 019005003005	019005003	of
 019005003006	019005003	my
 019005003007	019005003	prayer
 019005003008	019005003	,
 019005003009	019005003	o
 019005003010	019005003	my
 019005003011	019005003	king
 019005003012	019005003	and
 019005003013	019005003	my
 019005003014	019005003	god
 019005003015	019005003	.
 019005004001	019005004	for
 019005004002	019005004	to
 019005004003	019005004	thee
 019005004004	019005004	will
 019005004005	019005004	i
 019005004006	019005004	pray
 019005004007	019005004	:
 019005004008	019005004	o
 019005004009	019005004	lord
 019005004010	019005004	,
 019005004011	019005004	in
 019005004012	019005004	the
 019005004013	019005004	morning
 019005004014	019005004	thou
 019005004015	019005004	shalt
 019005004016	019005004	hear
 019005004017	019005004	my
 019005004018	019005004	voice
 019005004019	019005004	.
 019005005001	019005005	in
 019005005002	019005005	the
 019005005003	019005005	morning
 019005005004	019005005	i
 019005005005	019005005	will
 019005005006	019005005	stand
 019005005007	019005005	before
 019005005008	019005005	thee
 019005005009	019005005	,
 019005005010	019005005	and
 019005005011	019005005	will
 019005005012	019005005	see
 019005005013	019005005	:
 019005005014	019005005	because
 019005005015	019005005	thou
 019005005016	019005005	art
 019005005017	019005005	not
 019005005018	019005005	a
 019005005019	019005005	god
 019005005020	019005005	that
 019005005021	019005005	willest
 019005005022	019005005	iniquity
 019005005023	019005005	.
 019005006001	019005006	neither
 019005006002	019005006	shall
 019005006003	019005006	the
 019005006004	019005006	wicked
 019005006005	019005006	dwell
 019005006006	019005006	near
 019005006007	019005006	thee
 019005006008	019005006	:
 019005006009	019005006	nor
 019005006010	019005006	shall
 019005006011	019005006	the
 019005006012	019005006	unjust
 019005006013	019005006	abide
 019005006014	019005006	before
 019005006015	019005006	thy
 019005006016	019005006	eyes
 019005006017	019005006	.
 019005007001	019005007	thou
 019005007002	019005007	hatest
 019005007003	019005007	all
 019005007004	019005007	the
 019005007005	019005007	workers
 019005007006	019005007	of
 019005007007	019005007	iniquity
 019005007008	019005007	:
 019005007009	019005007	thou
 019005007010	019005007	wilt
 019005007011	019005007	destroy
 019005007012	019005007	all
 019005007013	019005007	that
 019005007014	019005007	speak
 019005007015	019005007	a
 019005007016	019005007	lie
 019005007017	019005007	.
 019005007018	019005007	the
 019005007019	019005007	bloody
 019005007020	019005007	and
 019005007021	019005007	the
 019005007022	019005007	deceitful
 019005007023	019005007	man
 019005007024	019005007	the
 019005007025	019005007	lord
 019005007026	019005007	will
 019005007027	019005007	abhor
 019005007028	019005007	.
 019005008001	019005008	but
 019005008002	019005008	as
 019005008003	019005008	for
 019005008004	019005008	me
 019005008005	019005008	in
 019005008006	019005008	the
 019005008007	019005008	multitude
 019005008008	019005008	of
 019005008009	019005008	thy
 019005008010	019005008	mercy
 019005008011	019005008	,
 019005008012	019005008	i
 019005008013	019005008	will
 019005008014	019005008	come
 019005008015	019005008	into
 019005008016	019005008	thy
 019005008017	019005008	house
 019005008018	019005008	;
 019005008019	019005008	i
 019005008020	019005008	will
 019005008021	019005008	worship
 019005008022	019005008	towards
 019005008023	019005008	thy
 019005008024	019005008	holy
 019005008025	019005008	temple
 019005008026	019005008	,
 019005008027	019005008	in
 019005008028	019005008	thy
 019005008029	019005008	fear
 019005008030	019005008	.
 019005009001	019005009	conduct
 019005009002	019005009	me
 019005009003	019005009	,
 019005009004	019005009	o
 019005009005	019005009	lord
 019005009006	019005009	,
 019005009007	019005009	in
 019005009008	019005009	thy
 019005009009	019005009	justice
 019005009010	019005009	:
 019005009011	019005009	because
 019005009012	019005009	of
 019005009013	019005009	my
 019005009014	019005009	enemies
 019005009015	019005009	,
 019005009016	019005009	direct
 019005009017	019005009	my
 019005009018	019005009	way
 019005009019	019005009	in
 019005009020	019005009	thy
 019005009021	019005009	sight
 019005009022	019005009	.
 019005010001	019005010	for
 019005010002	019005010	there
 019005010003	019005010	is
 019005010004	019005010	no
 019005010005	019005010	truth
 019005010006	019005010	in
 019005010007	019005010	their
 019005010008	019005010	mouth
 019005010009	019005010	;
 019005010010	019005010	their
 019005010011	019005010	heart
 019005010012	019005010	is
 019005010013	019005010	vain
 019005010014	019005010	.
 019005011001	019005011	their
 019005011002	019005011	throat
 019005011003	019005011	is
 019005011004	019005011	an
 019005011005	019005011	open
 019005011006	019005011	sepulchre
 019005011007	019005011	:
 019005011008	019005011	they
 019005011009	019005011	dealt
 019005011010	019005011	deceitfully
 019005011011	019005011	with
 019005011012	019005011	their
 019005011013	019005011	tongues
 019005011014	019005011	:
 019005011015	019005011	judge
 019005011016	019005011	them
 019005011017	019005011	,
 019005011018	019005011	o
 019005011019	019005011	god
 019005011020	019005011	.
 019005011021	019005011	let
 019005011022	019005011	them
 019005011023	019005011	fall
 019005011024	019005011	from
 019005011025	019005011	their
 019005011026	019005011	devices
 019005011027	019005011	:
 019005011028	019005011	according
 019005011029	019005011	to
 019005011030	019005011	the
 019005011031	019005011	multitude
 019005011032	019005011	of
 019005011033	019005011	their
 019005011034	019005011	wickedness
 019005011035	019005011	cast
 019005011036	019005011	them
 019005011037	019005011	out
 019005011038	019005011	:
 019005011039	019005011	for
 019005011040	019005011	they
 019005011041	019005011	have
 019005011042	019005011	provoked
 019005011043	019005011	thee
 019005011044	019005011	,
 019005011045	019005011	o
 019005011046	019005011	lord
 019005011047	019005011	.
 019005012001	019005012	but
 019005012002	019005012	let
 019005012003	019005012	all
 019005012004	019005012	them
 019005012005	019005012	be
 019005012006	019005012	glad
 019005012007	019005012	that
 019005012008	019005012	hope
 019005012009	019005012	in
 019005012010	019005012	thee
 019005012011	019005012	:
 019005012012	019005012	they
 019005012013	019005012	shall
 019005012014	019005012	rejoice
 019005012015	019005012	for
 019005012016	019005012	ever
 019005012017	019005012	,
 019005012018	019005012	and
 019005012019	019005012	thou
 019005012020	019005012	shalt
 019005012021	019005012	dwell
 019005012022	019005012	in
 019005012023	019005012	them
 019005012024	019005012	.
 019005012025	019005012	and
 019005012026	019005012	all
 019005012027	019005012	they
 019005012028	019005012	that
 019005012029	019005012	love
 019005012030	019005012	thy
 019005012031	019005012	name
 019005012032	019005012	shall
 019005012033	019005012	glory
 019005012034	019005012	in
 019005012035	019005012	thee
 019005012036	019005012	:
 019005013001	019005013	for
 019005013002	019005013	thou
 019005013003	019005013	wilt
 019005013004	019005013	bless
 019005013005	019005013	the
 019005013006	019005013	just
 019005013007	019005013	.
 019005013008	019005013	o
 019005013009	019005013	lord
 019005013010	019005013	,
 019005013011	019005013	thou
 019005013012	019005013	hast
 019005013013	019005013	crowned
 019005013014	019005013	us
 019005013015	019005013	,
 019005013016	019005013	as
 019005013017	019005013	with
 019005013018	019005013	a
 019005013019	019005013	shield
 019005013020	019005013	of
 019005013021	019005013	thy
 019005013022	019005013	good
 019005013023	019005013	will
 019005013024	019005013	.
 019006001001	019006001	unto
 019006001002	019006001	the
 019006001003	019006001	end
 019006001004	019006001	,
 019006001005	019006001	in
 019006001006	019006001	verses
 019006001007	019006001	,
 019006001008	019006001	a
 019006001009	019006001	psalm
 019006001010	019006001	for
 019006001011	019006001	david
 019006001012	019006001	,
 019006001013	019006001	for
 019006001014	019006001	the
 019006001015	019006001	octave
 019006001016	019006001	.
 019006002001	019006002	o
 019006002002	019006002	lord
 019006002003	019006002	,
 019006002004	019006002	rebuke
 019006002005	019006002	me
 019006002006	019006002	not
 019006002007	019006002	in
 019006002008	019006002	thy
 019006002009	019006002	indignation
 019006002010	019006002	,
 019006002011	019006002	nor
 019006002012	019006002	chastise
 019006002013	019006002	me
 019006002014	019006002	in
 019006002015	019006002	thy
 019006002016	019006002	wrath
 019006002017	019006002	.
 019006003001	019006003	have
 019006003002	019006003	mercy
 019006003003	019006003	on
 019006003004	019006003	me
 019006003005	019006003	,
